harga,kota,kecamatan,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi
1000000000.0,Bekasi,Harapan Indah,138.0,120.0,3.0,2.0
2850000000.0,Bekasi,Harapan Indah,160.0,216.0,3.0,3.0
1150000000.0,Bekasi,Harapan Indah,78.0,52.0,3.0,2.0
342000000.0,Bekasi,Harapan Indah,36.0,63.0,2.0,1.0
327000000.0,Bekasi,Harapan Indah,36.0,60.0,2.0,1.0
975000000.0,Bekasi,Harapan Indah,90.0,70.0,2.0,1.0
975000000.0,Bekasi,Harapan Indah,90.0,70.0,3.0,2.0
1370000000.0,Bekasi,Harapan Indah,105.0,100.0,4.0,3.0
1370000000.0,Bekasi,Harapan Indah,105.0,100.0,4.0,3.0
2150000000.0,Bekasi,Harapan Indah,144.0,157.0,3.0,3.0
2150000000.0,Bekasi,Harapan Indah,144.0,157.0,3.0,3.0
2150000000.0,Bekasi,Harapan Indah,144.0,157.0,3.0,3.0
1200000000.0,Bekasi,Harapan Indah,126.0,94.0,3.0,2.0
1550000000.0,Bekasi,Harapan Indah,114.0,228.0,2.0,3.0
1250000000.0,Bekasi,Harapan Indah,108.0,69.0,2.0,2.0
168000000.0,Bekasi,Harapan Indah,60.0,29.0,2.0,1.0
1400000000.0,Bekasi,Harapan Indah,144.0,77.0,3.0,1.0
799000000.0,Bekasi,Harapan Indah,77.0,140.0,3.0,2.0
779000000.0,Bekasi,Harapan Indah,54.0,63.0,3.0,2.0
775000000.0,Bekasi,Harapan Indah,66.0,60.0,2.0,1.0
2150000000.0,Bekasi,Harapan Indah,144.0,157.0,3.0,3.0
1750000000.0,Bekasi,Harapan Indah,179.0,56.0,2.0,2.0
750000000.0,Bekasi,Harapan Indah,94.0,75.0,2.0,1.0
1250000000.0,Bekasi,Harapan Indah,125.0,136.0,5.0,4.0
870000000.0,Bekasi,Harapan Indah,94.0,70.0,3.0,2.0
1500000000.0,Bekasi,Harapan Indah,126.0,80.0,2.0,2.0
1500000000.0,Bekasi,Harapan Indah,105.0,105.0,3.0,2.0
4300000000.0,Bekasi,Harapan Indah,325.0,200.0,4.0,4.0
1300000000.0,Bekasi,Harapan Indah,90.0,90.0,2.0,2.0
1300000000.0,Bekasi,Harapan Indah,90.0,90.0,2.0,2.0
1800000000.0,Bekasi,Harapan Indah,133.0,80.0,2.0,2.0
520000000.0,Bekasi,Harapan Indah,36.0,60.0,3.0,1.0
1300000000.0,Bekasi,Harapan Indah,84.0,56.0,2.0,2.0
685000000.0,Bekasi,Harapan Indah,94.0,110.0,2.0,1.0
930000000.0,Bekasi,Harapan Indah,105.0,70.0,2.0,1.0
685000000.0,Bekasi,Harapan Indah,94.0,110.0,2.0,1.0
2100000000.0,Bekasi,Harapan Indah,180.0,150.0,4.0,3.0
520000000.0,Bekasi,Harapan Indah,60.0,45.0,3.0,1.0
520000000.0,Bekasi,Harapan Indah,60.0,45.0,3.0,1.0
1200000000.0,Bekasi,Harapan Indah,119.0,63.0,2.0,1.0
1200000000.0,Bekasi,Harapan Indah,119.0,63.0,2.0,1.0
1450000000.0,Bekasi,Harapan Indah,131.0,225.0,4.0,3.0
1200000000.0,Bekasi,Harapan Indah,90.0,53.0,2.0,2.0
1450000000.0,Bekasi,Harapan Indah,131.0,225.0,4.0,3.0
1400000000.0,Bekasi,Harapan Indah,108.0,69.0,2.0,2.0
620000000.0,Bekasi,Harapan Indah,96.0,70.0,2.0,1.0
1450000000.0,Bekasi,Harapan Indah,144.0,110.0,2.0,2.0
1800000000.0,Bekasi,Harapan Indah,144.0,120.0,3.0,2.0
1600000000.0,Bekasi,Harapan Indah,160.0,260.0,3.0,2.0
3000000000.0,Bekasi,Harapan Indah,160.0,280.0,4.0,5.0
3000000000.0,Bekasi,Harapan Indah,160.0,280.0,4.0,5.0
1600000000.0,Bekasi,Harapan Indah,120.0,260.0,3.0,2.0
1800000000.0,Bekasi,Harapan Indah,144.0,120.0,3.0,2.0
2700000000.0,Bekasi,Harapan Indah,270.0,175.0,3.0,3.0
1400000000.0,Bekasi,Harapan Indah,108.0,69.0,2.0,2.0
970000000.0,Bekasi,Harapan Indah,53.0,63.0,3.0,2.0
575000000.0,Bekasi,Bekasi Kota,60.0,55.0,2.0,1.0
900000000.0,Bekasi,Bekasi Kota,72.0,69.0,3.0,2.0
