harga,luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi
2700000000.0,270.0,175.0,3.0,3.0
1400000000.0,108.0,69.0,2.0,2.0
970000000.0,53.0,63.0,3.0,2.0
575000000.0,60.0,55.0,2.0,1.0
900000000.0,72.0,69.0,3.0,2.0
1250000000.0,60.0,110.0,3.0,3.0
525000000.0,72.0,42.0,3.0,1.0
510000000.0,70.0,38.0,2.0,1.0
895000000.0,92.0,120.0,2.0,2.0
2500000000.0,135.0,110.0,4.0,3.0
1650000000.0,165.0,180.0,4.0,3.0
690000000.0,94.0,75.0,1.0,1.0
750000000.0,78.0,54.0,2.0,1.0
764000000.0,78.0,83.0,3.0,3.0
764000000.0,78.0,83.0,3.0,3.0
42000000.0,60.0,40.0,2.0,2.0
1400000000.0,77.0,150.0,3.0,3.0
500000000.0,60.0,48.0,2.0,2.0
342000000.0,66.0,63.0,2.0,1.0
764000000.0,78.0,83.0,3.0,3.0
764000000.0,78.0,83.0,3.0,3.0
500000000.0,60.0,48.0,2.0,2.0
1150000000.0,90.0,70.0,2.0,1.0
599000000.0,72.0,60.0,2.0,1.0
1680000000.0,200.0,90.0,3.0,2.0
1560000000.0,121.0,105.0,3.0,3.0
1180000000.0,84.0,77.0,3.0,3.0
1180000000.0,84.0,77.0,3.0,2.0
990000000.0,95.0,60.0,3.0,2.0
800000000.0,84.0,91.0,3.0,2.0
718000000.0,72.0,40.0,2.0,1.0
1390000000.0,60.0,64.0,3.0,2.0
764000000.0,78.0,83.0,3.0,3.0
1200000000.0,86.0,115.0,4.0,3.0
1310000000.0,86.0,115.0,3.0,3.0
680000000.0,72.0,36.0,2.0,1.0
680000000.0,72.0,36.0,2.0,1.0
1200000000.0,165.0,90.0,3.0,2.0
680000000.0,72.0,36.0,2.0,1.0
680000000.0,72.0,36.0,2.0,1.0
1200000000.0,165.0,90.0,3.0,2.0
680000000.0,72.0,36.0,2.0,1.0
1200000000.0,165.0,90.0,3.0,2.0
390000000.0,60.0,36.0,2.0,1.0
455000000.0,70.0,41.0,2.0,1.0
1010000000.0,125.0,65.0,3.0,2.0
690000000.0,96.0,48.0,2.0,1.0
988000000.0,72.0,60.0,3.0,2.0
465000000.0,60.0,55.0,2.0,1.0
480000000.0,60.0,55.0,2.0,2.0
625000000.0,72.0,48.0,2.0,1.0
3000000000.0,210.0,310.0,4.0,4.0
1180000000.0,84.0,77.0,3.0,2.0
1080000000.0,105.0,90.0,2.0,2.0
1050000000.0,90.0,70.0,2.0,1.0
1080000000.0,105.0,90.0,2.0,2.0
1150000000.0,90.0,70.0,2.0,1.0
1080000000.0,105.0,90.0,2.0,2.0
1080000000.0,105.0,90.0,2.0,2.0
1150000000.0,90.0,70.0,2.0,1.0
1150000000.0,90.0,70.0,2.0,1.0
1150000000.0,90.0,70.0,2.0,1.0
1210000000.0,84.0,77.0,3.0,3.0
1180000000.0,84.0,77.0,3.0,3.0
1150000000.0,90.0,70.0,2.0,1.0
1180000000.0,84.0,77.0,3.0,3.0
968000000.0,89.0,52.0,2.0,1.0
1650000000.0,165.0,180.0,4.0,3.0
1180000000.0,84.0,77.0,3.0,3.0
720000000.0,80.0,55.0,2.0,1.0
1300000000.0,84.0,105.0,4.0,3.0
1190000000.0,101.0,84.0,3.0,2.0
1180000000.0,84.0,77.0,3.0,2.0
1300000000.0,87.0,77.0,3.0,3.0
600000000.0,80.0,55.0,2.0,1.0
500000000.0,70.0,45.0,2.0,1.0
1100000000.0,82.0,72.0,3.0,3.0
1280000000.0,92.0,130.0,3.0,3.0
3700000000.0,216.0,300.0,3.0,4.0
1070000000.0,95.0,88.0,4.0,2.0
476000000.0,52.0,36.0,2.0,1.0
968000000.0,70.0,120.0,3.0,3.0
884000000.0,70.0,65.0,3.0,2.0
1180000000.0,95.0,140.0,4.0,3.0
4040000000.0,183.0,136.0,5.0,4.0
1100000000.0,180.0,172.0,3.0,3.0
2250000000.0,175.0,250.0,3.0,2.0
1800000000.0,115.0,113.0,3.0,2.0
800000000.0,97.0,76.0,2.0,1.0
920000000.0,70.0,85.0,3.0,2.0
1970000000.0,91.0,165.0,4.0,4.0
1990000000.0,178.0,110.0,3.0,3.0
3950000000.0,760.0,350.0,4.0,2.0
1250000000.0,154.0,150.0,4.0,3.0
5300000000.0,707.0,338.0,6.0,4.0
1110000000.0,75.0,80.0,3.0,3.0
1870000000.0,91.0,165.0,3.0,4.0
1590000000.0,118.0,156.0,3.0,3.0
1620000000.0,118.0,156.0,3.0,3.0
500000000.0,64.0,47.0,2.0,1.0
750000000.0,78.0,54.0,2.0,1.0
600000000.0,65.0,53.0,2.0,2.0
799000000.0,97.0,70.0,2.0,1.0
799000000.0,97.0,70.0,2.0,1.0
799000000.0,97.0,70.0,2.0,1.0
959000000.0,96.0,80.0,3.0,2.0
774000000.0,70.0,70.0,3.0,2.0
995000000.0,80.0,90.0,3.0,2.0
1400000000.0,112.0,71.0,2.0,2.0
1050000000.0,72.0,90.0,3.0,2.0
975000000.0,100.0,70.0,3.0,2.0
620000000.0,72.0,50.0,2.0,1.0
959000000.0,72.0,80.0,3.0,2.0
875000000.0,100.0,66.0,3.0,2.0
600000000.0,72.0,50.0,2.0,1.0
807000000.0,42.0,63.0,3.0,2.0
580000000.0,60.0,50.0,3.0,1.0
679000000.0,63.0,45.0,2.0,1.0
900000000.0,72.0,80.0,3.0,2.0
849000000.0,70.0,90.0,3.0,2.0
880000000.0,75.0,66.0,3.0,2.0
695000000.0,65.0,58.0,2.0,2.0
465000000.0,60.0,36.0,2.0,1.0
857000000.0,42.0,62.0,2.0,2.0
650000000.0,72.0,45.0,2.0,1.0
145000000.0,175.0,140.0,4.0,3.0
1990000000.0,300.0,250.0,4.0,4.0
675000000.0,99.0,71.0,3.0,3.0
350000000.0,66.0,57.0,2.0,1.0
350000000.0,66.0,57.0,2.0,1.0
2790000000.0,250.0,252.0,5.0,4.0
2790000000.0,250.0,252.0,5.0,4.0
2790000000.0,250.0,252.0,5.0,4.0
750000000.0,78.0,54.0,2.0,1.0
400000000.0,70.0,42.0,2.0,1.0
1350000000.0,175.0,133.0,4.0,3.0
1350000000.0,175.0,133.0,4.0,3.0
750000000.0,78.0,54.0,2.0,1.0
550000000.0,60.0,40.0,2.0,1.0
700000000.0,78.0,54.0,3.0,2.0
682000000.0,63.0,45.0,2.0,1.0
2300000000.0,200.0,300.0,3.0,3.0
1200000000.0,165.0,90.0,3.0,2.0
4300000000.0,382.0,350.0,4.0,3.0
4500000000.0,612.0,376.0,4.0,4.0
1250000000.0,112.0,65.0,3.0,2.0
2300000000.0,160.0,127.0,3.0,2.0
2200000000.0,160.0,127.0,3.0,2.0
410000000.0,60.0,36.0,2.0,1.0
1960000000.0,105.0,101.0,4.0,3.0
875000000.0,66.0,42.0,2.0,2.0
695000000.0,60.0,58.0,2.0,2.0
1800000000.0,140.0,170.0,4.0,3.0
1050000000.0,72.0,90.0,3.0,2.0
1050000000.0,72.0,90.0,3.0,2.0
1050000000.0,72.0,90.0,3.0,2.0
1050000000.0,72.0,90.0,3.0,2.0
1050000000.0,72.0,90.0,3.0,2.0
1250000000.0,105.0,100.0,3.0,2.0
1690000000.0,182.0,300.0,5.0,5.0
1620000000.0,92.0,170.0,3.0,3.0
735000000.0,84.0,47.0,2.0,1.0
1620000000.0,92.0,160.0,3.0,3.0
2100000000.0,120.0,200.0,4.0,2.0
799000000.0,92.0,48.0,2.0,1.0
3400000000.0,160.0,285.0,4.0,2.0
1250000000.0,123.0,165.0,3.0,3.0
1200000000.0,77.0,109.0,3.0,2.0
1050000000.0,72.0,90.0,3.0,2.0
1350000000.0,160.0,205.0,3.0,2.0
700000000.0,78.0,46.0,3.0,2.0
2200000000.0,154.0,154.0,3.0,2.0
703000000.0,75.0,55.0,2.0,1.0
1050000000.0,72.0,108.0,3.0,2.0
1050000000.0,72.0,108.0,3.0,2.0
950000000.0,66.0,87.0,3.0,2.0
2190000000.0,136.0,150.0,3.0,3.0
950000000.0,66.0,87.0,3.0,2.0
999000000.0,75.0,99.0,3.0,2.0
2100000000.0,104.0,120.0,3.0,3.0
545000000.0,72.0,42.0,2.0,1.0
725000000.0,80.0,121.0,3.0,2.0
463000000.0,60.0,29.0,2.0,1.0
575000000.0,98.0,165.0,4.0,2.0
320000000.0,108.0,135.0,2.0,1.0
468000000.0,72.0,45.0,2.0,1.0
168000000.0,60.0,29.0,2.0,1.0
875000000.0,90.0,75.0,3.0,1.0
496000000.0,72.0,36.0,2.0,1.0
779000000.0,53.0,63.0,3.0,2.0
800000000.0,90.0,69.0,3.0,1.0
800000000.0,90.0,69.0,3.0,1.0
764000000.0,78.0,83.0,3.0,3.0
1600000000.0,186.0,200.0,4.0,3.0
1150000000.0,105.0,140.0,4.0,3.0
764000000.0,78.0,83.0,3.0,3.0
42000000.0,60.0,40.0,2.0,2.0
1350000000.0,180.0,150.0,2.0,2.0
2200000000.0,210.0,230.0,4.0,2.0
2000000000.0,118.0,71.0,3.0,3.0
625000000.0,75.0,48.0,2.0,1.0
1000000000.0,150.0,196.0,4.0,2.0
9000000000.0,939.0,500.0,36.0,36.0
1600000000.0,119.0,100.0,2.0,2.0
680000000.0,72.0,36.0,2.0,1.0
490000000.0,72.0,45.0,2.0,1.0
665000000.0,97.0,54.0,3.0,1.0
445000000.0,97.0,54.0,2.0,1.0
570000000.0,97.0,54.0,2.0,1.0
1050000000.0,119.0,84.0,2.0,1.0
1500000000.0,250.0,180.0,2.0,1.0
665000000.0,97.0,54.0,3.0,1.0
665000000.0,97.0,54.0,3.0,1.0
950000000.0,66.0,87.0,3.0,2.0
650000000.0,72.0,60.0,2.0,1.0
975000000.0,120.0,60.0,3.0,1.0
799000000.0,97.0,70.0,2.0,1.0
3700000000.0,216.0,300.0,3.0,4.0
950000000.0,66.0,87.0,3.0,2.0
350000000.0,60.0,36.0,2.0,1.0
524000000.0,40.0,66.0,2.0,1.0
325000000.0,60.0,45.0,2.0,1.0
325000000.0,60.0,45.0,2.0,1.0
335000000.0,60.0,45.0,3.0,1.0
310000000.0,60.0,45.0,2.0,1.0
1500000000.0,120.0,88.0,3.0,2.0
1500000000.0,120.0,88.0,3.0,2.0
6640000000.0,72.0,39.0,2.0,1.0
327000000.0,36.0,61.0,2.0,1.0
332000000.0,36.0,61.0,2.0,1.0
395000000.0,60.0,40.0,2.0,1.0
168000000.0,60.0,29.0,2.0,1.0
480000000.0,72.0,72.0,2.0,1.0
395000000.0,60.0,40.0,2.0,1.0
