luas_tanah,luas_bangunan,kamar_tidur,kamar_mandi
86.0,115.0,3.0,3.0
72.0,36.0,2.0,1.0
72.0,36.0,2.0,1.0
165.0,90.0,3.0,2.0
72.0,36.0,2.0,1.0
72.0,36.0,2.0,1.0
165.0,90.0,3.0,2.0
72.0,36.0,2.0,1.0
165.0,90.0,3.0,2.0
60.0,36.0,2.0,1.0
70.0,41.0,2.0,1.0
125.0,65.0,3.0,2.0
96.0,48.0,2.0,1.0
72.0,60.0,3.0,2.0
60.0,55.0,2.0,1.0
60.0,55.0,2.0,2.0
72.0,48.0,2.0,1.0
210.0,310.0,4.0,4.0
84.0,77.0,3.0,2.0
105.0,90.0,2.0,2.0
90.0,70.0,2.0,1.0
105.0,90.0,2.0,2.0
90.0,70.0,2.0,1.0
105.0,90.0,2.0,2.0
105.0,90.0,2.0,2.0
90.0,70.0,2.0,1.0
90.0,70.0,2.0,1.0
90.0,70.0,2.0,1.0
84.0,77.0,3.0,3.0
84.0,77.0,3.0,3.0
90.0,70.0,2.0,1.0
84.0,77.0,3.0,3.0
89.0,52.0,2.0,1.0
165.0,180.0,4.0,3.0
84.0,77.0,3.0,3.0
80.0,55.0,2.0,1.0
84.0,105.0,4.0,3.0
101.0,84.0,3.0,2.0
84.0,77.0,3.0,2.0
87.0,77.0,3.0,3.0
80.0,55.0,2.0,1.0
70.0,45.0,2.0,1.0
82.0,72.0,3.0,3.0
92.0,130.0,3.0,3.0
216.0,300.0,3.0,4.0
95.0,88.0,4.0,2.0
52.0,36.0,2.0,1.0
70.0,120.0,3.0,3.0
70.0,65.0,3.0,2.0
95.0,140.0,4.0,3.0
183.0,136.0,5.0,4.0
180.0,172.0,3.0,3.0
175.0,250.0,3.0,2.0
115.0,113.0,3.0,2.0
97.0,76.0,2.0,1.0
70.0,85.0,3.0,2.0
91.0,165.0,4.0,4.0
178.0,110.0,3.0,3.0
760.0,350.0,4.0,2.0
154.0,150.0,4.0,3.0
707.0,338.0,6.0,4.0
75.0,80.0,3.0,3.0
91.0,165.0,3.0,4.0
118.0,156.0,3.0,3.0
118.0,156.0,3.0,3.0
64.0,47.0,2.0,1.0
78.0,54.0,2.0,1.0
65.0,53.0,2.0,2.0
97.0,70.0,2.0,1.0
97.0,70.0,2.0,1.0
97.0,70.0,2.0,1.0
96.0,80.0,3.0,2.0
70.0,70.0,3.0,2.0
80.0,90.0,3.0,2.0
112.0,71.0,2.0,2.0
72.0,90.0,3.0,2.0
100.0,70.0,3.0,2.0
72.0,50.0,2.0,1.0
72.0,80.0,3.0,2.0
100.0,66.0,3.0,2.0
72.0,50.0,2.0,1.0
42.0,63.0,3.0,2.0
60.0,50.0,3.0,1.0
63.0,45.0,2.0,1.0
72.0,80.0,3.0,2.0
70.0,90.0,3.0,2.0
75.0,66.0,3.0,2.0
65.0,58.0,2.0,2.0
60.0,36.0,2.0,1.0
42.0,62.0,2.0,2.0
72.0,45.0,2.0,1.0
175.0,140.0,4.0,3.0
300.0,250.0,4.0,4.0
99.0,71.0,3.0,3.0
66.0,57.0,2.0,1.0
66.0,57.0,2.0,1.0
250.0,252.0,5.0,4.0
250.0,252.0,5.0,4.0
250.0,252.0,5.0,4.0
78.0,54.0,2.0,1.0
70.0,42.0,2.0,1.0
175.0,133.0,4.0,3.0
175.0,133.0,4.0,3.0
78.0,54.0,2.0,1.0
60.0,40.0,2.0,1.0
78.0,54.0,3.0,2.0
63.0,45.0,2.0,1.0
200.0,300.0,3.0,3.0
165.0,90.0,3.0,2.0
382.0,350.0,4.0,3.0
612.0,376.0,4.0,4.0
112.0,65.0,3.0,2.0
160.0,127.0,3.0,2.0
160.0,127.0,3.0,2.0
60.0,36.0,2.0,1.0
105.0,101.0,4.0,3.0
66.0,42.0,2.0,2.0
60.0,58.0,2.0,2.0
140.0,170.0,4.0,3.0
72.0,90.0,3.0,2.0
72.0,90.0,3.0,2.0
72.0,90.0,3.0,2.0
72.0,90.0,3.0,2.0
72.0,90.0,3.0,2.0
105.0,100.0,3.0,2.0
182.0,300.0,5.0,5.0
92.0,170.0,3.0,3.0
84.0,47.0,2.0,1.0
92.0,160.0,3.0,3.0
120.0,200.0,4.0,2.0
92.0,48.0,2.0,1.0
160.0,285.0,4.0,2.0
123.0,165.0,3.0,3.0
